# 이름 붙은 숫자/문자열 표. 한 파일에 여러 표가 들어 있고 table 열이 그 이름이다.
# table · key 는 코드가 찾는 이름이므로 바꾸지 않는다. 고치는 것은 value 뿐이다.
# 배열형 표(ARMOR_DR_BY_TIER 등)의 key 는 0 부터 빠짐없이 이어져야 한다.
table,key,value
# AMMO_STACK_ROUNDS — 탄종별 한 스택(=한 세트) 발수
AMMO_STACK_ROUNDS,light,80
AMMO_STACK_ROUNDS,medium,50
AMMO_STACK_ROUNDS,heavy,25
AMMO_STACK_ROUNDS,shell,25
AMMO_STACK_ROUNDS,rifle,50
AMMO_STACK_ROUNDS,pistol,80
AMMO_STACK_ROUNDS,shotgun,25
AMMO_STACK_ROUNDS,energy,50
AMMO_STACK_ROUNDS,fuel,200
AMMO_STACK_ROUNDS,cell,60
AMMO_STACK_ROUNDS,shuriken,40
AMMO_STACK_ROUNDS,arrow,30
AMMO_STACK_ROUNDS,rocket,6
AMMO_STACK_ROUNDS,belt,300

# UNIQUE_AMMO_STACK_ROUNDS — 유니크 탄종 한 스택 수량
UNIQUE_AMMO_STACK_ROUNDS,fuel,200
UNIQUE_AMMO_STACK_ROUNDS,cell,60
UNIQUE_AMMO_STACK_ROUNDS,shuriken,40
UNIQUE_AMMO_STACK_ROUNDS,arrow,30
UNIQUE_AMMO_STACK_ROUNDS,rocket,6
UNIQUE_AMMO_STACK_ROUNDS,belt,300

# SEARCH_TIME_BY_RARITY — 컨테이너 감정: 등급별 1칸 공개 시간(초)
SEARCH_TIME_BY_RARITY,common,0.35
SEARCH_TIME_BY_RARITY,uncommon,0.7
SEARCH_TIME_BY_RARITY,rare,1.3
SEARCH_TIME_BY_RARITY,epic,2
SEARCH_TIME_BY_RARITY,legendary,3

# SEED_GROW_HOURS_BY_RARITY — 씨앗 등급별 재배 시간(실시간 시간)
SEED_GROW_HOURS_BY_RARITY,common,1
SEED_GROW_HOURS_BY_RARITY,uncommon,2.5
SEED_GROW_HOURS_BY_RARITY,rare,6
SEED_GROW_HOURS_BY_RARITY,epic,6
SEED_GROW_HOURS_BY_RARITY,legendary,6

# SOIL_USES_BY_RARITY — 토양 등급별 견디는 수확 횟수 (data/items.csv 의 soilUses 가 실제 값)
SOIL_USES_BY_RARITY,common,2
SOIL_USES_BY_RARITY,uncommon,3
SOIL_USES_BY_RARITY,rare,5
SOIL_USES_BY_RARITY,epic,5
SOIL_USES_BY_RARITY,legendary,5

# BOOK_RARITY_MUL — 서재 책 등급 가중치
BOOK_RARITY_MUL,common,1
BOOK_RARITY_MUL,uncommon,1.5
BOOK_RARITY_MUL,rare,2.5
BOOK_RARITY_MUL,epic,4
BOOK_RARITY_MUL,legendary,6

